DATE,NGMP12420
2001-01-01,55451.625
2002-01-01,57679.448
2003-01-01,59473.666
2004-01-01,63268.415
2005-01-01,69658.104
2006-01-01,79217.401
2007-01-01,83538.655
2008-01-01,86745.435
2009-01-01,85652.687
2010-01-01,90906.977
2011-01-01,95738.309
2012-01-01,100427.386
2013-01-01,107435.216
2014-01-01,114922.222
2015-01-01,125775.644
2016-01-01,133605.168
2017-01-01,141704.959
2018-01-01,152851.277
2019-01-01,163889.339
2020-01-01,168435.759
